Organization,FY,trip_ct,Common_Carrier_AIR_TRAIN,Lodging,Meals_Incidentals,Rental_Car,POV,Misc_Expenses,Local_Trans,Voucher_Fee,TMC_Fee
Ofc of the CIO,2012,274,83555.17,134796.11,66709,5251.17,8179.87,31025.77,9213.08,3878,460
Public Buildings Service,2012,1178,454554.13,448621.83,247411.75,27992.62,29078.18,126365.79,62451.18,16912,10227.67
"R11-Nat'l Capital-Wash., DC",2012,159,45817.11,57112.22,33763.75,2952.27,5155.83,11376.76,6926.7,2240,666.25
R2-NE and Caribbean-NYCNY,2012,720,158285.09,246578.55,139767.6,5012.38,14209.66,68167.3,47960.31,10360,1927.25
Federal Supply Service,2012,53,28046.87,14608.9,10212,6008.32,1959.24,3840.64,257,756,800
Ofc of Chief Financial Officer,2012,152,64639.78,68906.92,59384.7,11681.33,5682.18,18933.97,6431.84,2338,689
Ofc of Chief People Officer,2012,211,49958.75,87295.43,43381.5,1996.18,9319.86,20942.83,9570.56,3038,1473.25
Ofc of Transport and Prop Mgmt,2012,8,2407.2,2957,1850.5,NULL,93.84,701.72,425.6,112,17.25
Office of Administrative Servi,2012,6,2681,3401,1516.5,NULL,368.54,1008.15,229.45,84,60.5
"R3-Mid Atlantic-Phil, PA",2012,1968,163437.61,479248.61,295454.63,7890.09,43514.16,160527.13,20198.66,28042,870.5
"R6-The Heartland-KC, MO",2012,1155,117190.81,291026.31,180903.5,9326.48,25078.87,49498.58,13893.51,16198,3873.5
"R7-Greater SW-Ft. Worth, TX",2012,1632,502324.71,371931.37,250377.75,51439.45,42592.59,91739.13,16686.87,23058,7290.9
"R9-Pacific Rim-SFO, CA",2012,1977,533568.36,498956.46,337200.16,65828.47,50758.25,138524.85,55830.09,28154,16731.92
Federal Acquisition Service,2013,848,180279.62,264027.83,178741,25756.74,25628.94,59677.09,7643.32,11942,3295.5
Ofc of  Governmentwide Policy,2013,47,16777.7,13872.79,9730.5,1244.49,1788.32,3400.77,2427.43,658,133.25
Ofc of Citizen Svcs and Innova,2013,34,9555.2,10952.28,5881,949.79,1877.88,2439.21,628.41,490,97.5
Ofc of Civil Rights,2013,13,2381.6,6597,3192,NULL,2416.92,1507.34,409.68,182,31
"R1-New England-Boston, MA",2013,412,44049,81224.81,54492.25,8299.66,11446.66,21157.85,5441.7,5838,954.83
"R10-NW/Arctic-Auburn, WA",2013,570,138588.84,145305.46,104724.75,14988.42,8533.29,34714.61,5371.19,8064,1741.05
Ofc of the CIO,2013,63,22856.15,27518.57,13927.75,923.96,2398.67,7250.8,971.5,882,11
Office of Administrative Servi,2013,3,1031.6,2853.16,783.5,NULL,273.48,516.5,257.1,42,NULL
Public Buildings Service,2013,430,154779.4,116457.39,75170.25,11849.63,11307.16,38898.43,17802.15,6048,3002
"R11-Nat'l Capital-Wash., DC",2013,46,6835.5,12469.65,7488.25,94.75,864.53,1858.21,1325,644,43
R2-NE and Caribbean-NYCNY,2013,338,67835.83,109984.33,67084.75,1786.42,4774.45,33669.72,19500.24,4760,290
Federal Technology Service,2013,6,2201.2,404,617.25,139.3,970.34,217.52,122.94,84,25
GSA Board of Contract Appeals,2013,21,9214.1,4716.82,3887.5,2115.65,267.78,1730.97,749.85,294,176
Ofc of General Counsel,2013,140,42392.6,41047.07,24447,2644.66,2458.31,9276.61,9208.03,1988,1644.25
Ofc of Sm Business Utilization,2013,9,2608.6,3008,1465,44.12,48.72,982.04,413.13,140,24
Ofc of the Administrator,2013,37,13744.95,9348.05,7034.5,999.08,1709.58,3399.6,997.24,560,274.5
"R4-SE Sunbelt-Atlanta, GA",2013,1764,286215.66,376479.34,250689.75,42836.84,103337.55,112388.97,5894.63,24976,7783.49
"R5-Great Lakes-CHI, IL",2013,1718,199521.05,295250.32,216508.25,28775.82,32761.58,86050.34,28047.73,24234,4577.07
"R8-Rocky Mountain-DEN, CO",2013,507,123343,107271.02,73379.25,21782.96,17596.79,32378.49,2402.66,7154,2945
Federal Supply Service,2013,36,16045.1,9364.5,6289.5,3328.37,1189.08,2192.23,286.3,504,796
Ofc of Chief Financial Officer,2013,90,24628.7,41367.78,20887,3673.26,4935.28,12577.76,2860.81,1274,431
Ofc of Chief People Officer,2013,54,16385.3,28672,14228.5,1486.97,2354.37,6321.1,2334.62,756,362.75
Ofc of Communications and Mark,2013,14,3844.05,1573,1345.25,145.45,76.99,825.42,577.53,224,90.5
Ofc of the Chief Acquisition,2013,46,15965.9,33222.64,15010.25,1282.12,2353.98,6244.44,2213.15,686,97.75
Ofc of Transport and Prop Mgmt,2013,1,479.7,266,212.5,NULL,NULL,65.92,84,14,25
"R3-Mid Atlantic-Phil, PA",2013,1077,89884.85,185409.05,133966.25,4208.94,10549.25,51687.13,4343.89,15190,661.5
"R6-The Heartland-KC, MO",2013,704,31122.2,136674.55,100027,3097.97,12643.3,20972.98,1993.56,9898,2567.75
"R7-Greater SW-Ft. Worth, TX",2013,826,209319.15,157587.71,117869.75,24257.79,17882.54,39682.56,2324.52,11704,3524.75
"R9-Pacific Rim-SFO, CA",2013,730,177211.16,158009.86,117244.9,20890.43,26869.58,48065.84,17491.94,10304,3861.5
