GDS_Record_Locator,Reservation_Date,Ticket_Issue_Date,Trip_Departure_Date,Ticket_Number,Airline_Name,Cabin_Class,Domestic_International_Indicator,Origin_Airport_Code,Destination_Airport_Code,Routing,Invoice_Amount,Tax_Amount,Total_Amount,Mileage,Exchange_Indicator,Exchange_Original_Ticket_Number,Refund_Indicator,Original_Invoice_Number,Online_Indicator,Fare_Category
AWOJPB,00:00.0,00:00.0,00:00.0,7204238839,AMERICAN,Coach,D,ATL,MIA,ATL/MIA/ATL,171.16,34.64,205.8,1194,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
AFDRQN,00:00.0,00:00.0,00:00.0,7204238772,AIRTRAN AIRLINES,Coach,D,ATL,CLT,ATL/CLT/ATL,174.88,33.42,208.3,453,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
LCZZUB,00:00.0,00:00.0,00:00.0,7204539017,VIRGIN AMERICA,Coach,D,SFO,LAX,SFO/LAX/SFO,113.48,30.32,143.8,676,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
ZRAMAS,00:00.0,00:00.0,00:00.0,7203973700,VIRGIN AMERICA,Coach,D,SFO,LAX,SFO/LAX/SFO,113.48,30.32,143.8,676,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
LMHXOZ,00:00.0,00:00.0,00:00.0,7204238765,VIRGIN AMERICA,Coach,D,SFO,LAX,SFO/LAX/SFO,113.48,30.32,143.8,676,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
KQTAAK,00:00.0,00:00.0,00:00.0,,SOUTHWEST AIR,Coach,D,BOI,GEG,BOI/GEG,132.09,20.81,152.9,288,N,,N,,Y,YCA City Pair Fare (Contract)
JPDUSE,00:00.0,00:00.0,00:00.0,7204238762,FRONTIER AIRLINES,Coach,D,DEN,SLC,DEN/SLC/DEN,133.95,31.85,165.8,761,N,,N,,N,YCA City Pair Fare (Contract)
EGIZBS,00:00.0,00:00.0,00:00.0,7204539166,FRONTIER AIRLINES,Coach,D,DEN,SLC,DEN/SLC/DEN,133.95,31.85,165.8,761,N,,N,,N,YCA City Pair Fare (Contract)
COBNWI,00:00.0,00:00.0,00:00.0,7204238768,DELTA AIR LINES,Coach,D,MDW,DTW,MDW/DTW/MDW,143.26,32.54,175.8,458,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
NDTBVU,00:00.0,00:00.0,00:00.0,7204238822,ALASKA,Coach,D,SEA,DFW,SEA/DFW,156.28,22.62,178.9,1660,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
ZKGNVO,00:00.0,00:00.0,00:00.0,7204238868,JET BLUE AIRWAYS,Coach,I,EWR,SJU,EWR/SJU,189,24.2,213.2,1614,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
FKBBNW,00:00.0,00:00.0,00:00.0,,SOUTHWEST AIR,Coach,D,OAK,PHX,OAK/PHX,201.86,26.04,227.9,645,N,,N,,Y,Economy Discounted Government (Non-Contract)
ZYYYNK,00:00.0,00:00.0,00:00.0,7204952796,AIRTRAN AIRLINES,Coach,D,ATL,FLL,ATL/FLL/ATL,213.96,37.84,251.8,1165,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
BWYUFG,00:00.0,00:00.0,00:00.0,7204238803,UNITED AIRLINES,Coach,D,ORD,DCA,ORD/DCA/ORD,217.67,38.13,255.8,1222,N,,N,,Y,YCA City Pair Fare (Contract)
KDNSHK,00:00.0,00:00.0,00:00.0,7204539060,IBERIA,Business,I,FRA,XRY,FRA/MAD/XRY/MAD/FRA,245,269.4,514.4,2351,N,,N,,N,Business Class Fare (Non-Contract)
ZFTIAC,00:00.0,00:00.0,00:00.0,7204238786,DELTA AIR LINES,Coach,D,ATL,DAB,ATL/DAB/ATL,671.62,72.18,743.8,734,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
ZVTHMU,00:00.0,00:00.0,00:00.0,7204238827,DELTA AIR LINES,Coach,D,DTW,SEA,DTW/SEA/DTW,686.52,73.28,759.8,3847,N,,N,,Y,Economy Discounted Government (Non-Contract)
LDAVLW,00:00.0,00:00.0,00:00.0,7204539053,UNITED AIRLINES,Coach,D,DCA,CLE,DCA/CLE/DCA,710.7,75.1,785.8,619,N,,N,,Y,YCA City Pair Fare (Contract)
MRJFEC,00:00.0,00:00.0,00:00.0,7204238854,US AIRWAYS,Coach,D,DCA,MCI,DCA/MCI/DCA,277.2,42.6,319.8,1898,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
OCZZAJ,00:00.0,00:00.0,00:00.0,7204758709,UNITED AIRLINES,Coach,D,ORD,CLE,ORD/CLE/ORD,277.21,42.59,319.8,631,N,,N,,N,YCA City Pair Fare (Contract)
OYQUCQ,00:00.0,00:00.0,00:00.0,7204539129,UNITED AIRLINES,Coach,D,ORD,CLE,ORD/CLE/ORD,277.21,42.59,319.8,631,N,,N,,Y,YCA City Pair Fare (Contract)
EXTOJK,00:00.0,00:00.0,00:00.0,7204539022,UNITED AIRLINES,Coach,D,DCA,PWM,DCA/EWR/PWM/EWR/DCA,409.3,74.3,483.6,965,N,,N,,Y,YCA City Pair Fare (Contract)
OJVMYE,00:00.0,00:00.0,00:00.0,7203973697,FRONTIER AIRLINES,Coach,D,DEN,DCA,DEN/DCA/DEN,338.61,47.19,385.8,2970,N,,N,,Y,YCA City Pair Fare (Contract)
HXKAHR,00:00.0,00:00.0,00:00.0,,SOUTHWEST AIR,Coach,D,BWI,MCI,BWI/MCI/BWI,373.96,49.84,423.8,1932,N,,N,,Y,YCA City Pair Fare (Contract)
DXIUIG,00:00.0,00:00.0,00:00.0,7204539102,UNITED AIRLINES,Coach,D,IAD,LAX,IAD/LAX/IAD,398.14,51.66,449.8,4571,N,,N,,N,_CA Deep Discount City Pair Fare (Contract)
BMTSGF,00:00.0,00:00.0,00:00.0,7204238810,JET BLUE AIRWAYS,Coach,D,BOS,LAX,BOS/LAX_SFO/BOS,407.45,52.35,459.8,5308,N,,N,,Y,YCA City Pair Fare (Contract)
ANDDGC,00:00.0,00:00.0,00:00.0,7203973679,FRONTIER AIRLINES,Coach,D,DEN,DCA,DEN/DCA/DEN,444.66,55.14,499.8,2970,N,,N,,Y,YCA City Pair Fare (Contract)
YIMRLC,00:00.0,00:00.0,00:00.0,7204238757,UNITED AIRLINES,Coach,D,DTW,BTV,DTW/IAD/BTV/ORD/DTW,455.82,77.78,533.6,1823,N,,N,,N,YCA City Pair Fare (Contract)
NFIAMH,00:00.0,00:00.0,00:00.0,7204238910,UNITED AIRLINES,Coach,D,DTW,BTV,DTW/IAD/BTV/ORD/DTW,455.82,77.78,533.6,1823,N,,N,,N,YCA City Pair Fare (Contract)
ZVTHMU,00:00.0,00:00.0,00:00.0,7204238828,ALASKA,Coach,D,SEA,FCA,SEA/FCA/SEA,478.14,57.66,535.8,756,N,,N,,Y,YCA City Pair Fare (Contract)
